[2024-01-01 15:44:47,237][root][INFO] - Experiment name: xgb_regression_da_and_d1_elastic_net
[2024-01-01 15:44:51,500][root][INFO] - Running hyperopt
[2024-01-01 15:44:51,506][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000705 seconds
[2024-01-01 15:44:51,506][hyperopt.tpe][INFO] - TPE using 0 trials
[2024-01-01 15:44:51,999][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000635 seconds
[2024-01-01 15:44:51,999][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.316369
[2024-01-01 15:44:52,116][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000614 seconds
[2024-01-01 15:44:52,116][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.316369
[2024-01-01 15:44:52,233][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000680 seconds
[2024-01-01 15:44:52,233][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.316369
[2024-01-01 15:44:52,355][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000597 seconds
[2024-01-01 15:44:52,355][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.316369
[2024-01-01 15:44:52,471][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000598 seconds
[2024-01-01 15:44:52,472][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.316369
[2024-01-01 15:44:52,591][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000601 seconds
[2024-01-01 15:44:52,591][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.316369
[2024-01-01 15:44:52,719][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000590 seconds
[2024-01-01 15:44:52,719][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.311325
[2024-01-01 15:44:52,835][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000579 seconds
[2024-01-01 15:44:52,835][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.311325
[2024-01-01 15:44:52,963][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000705 seconds
[2024-01-01 15:44:52,963][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.311325
[2024-01-01 15:44:53,079][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000572 seconds
[2024-01-01 15:44:53,079][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.311325
[2024-01-01 15:44:53,198][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000571 seconds
[2024-01-01 15:44:53,198][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.311325
[2024-01-01 15:44:53,314][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000570 seconds
[2024-01-01 15:44:53,314][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.311325
[2024-01-01 15:44:53,450][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000598 seconds
[2024-01-01 15:44:53,450][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.288400
