[2023-12-01 14:48:27,924][root][INFO] - Experiment name: xgb_regression_da_and_d2_hyperopt_tune
[2023-12-01 14:48:32,503][root][INFO] - Running hyperopt
[2023-12-01 14:48:32,513][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002598 seconds
[2023-12-01 14:48:32,513][hyperopt.tpe][INFO] - TPE using 0 trials
[2023-12-01 14:48:32,940][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003053 seconds
[2023-12-01 14:48:32,940][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.275128
[2023-12-01 14:48:33,099][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002555 seconds
[2023-12-01 14:48:33,099][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.247864
[2023-12-01 14:48:33,227][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002494 seconds
[2023-12-01 14:48:33,227][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.247864
[2023-12-01 14:48:33,362][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002487 seconds
[2023-12-01 14:48:33,362][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.247864
[2023-12-01 14:48:33,409][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002635 seconds
[2023-12-01 14:48:33,409][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.247864
[2023-12-01 14:48:33,562][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002509 seconds
[2023-12-01 14:48:33,562][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.247864
[2023-12-01 14:48:33,626][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002538 seconds
[2023-12-01 14:48:33,626][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.247864
[2023-12-01 14:48:33,775][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002459 seconds
[2023-12-01 14:48:33,775][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.247864
[2023-12-01 14:48:33,866][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002470 seconds
[2023-12-01 14:48:33,866][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.247864
[2023-12-01 14:48:33,985][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002472 seconds
[2023-12-01 14:48:33,985][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.247864
[2023-12-01 14:48:34,068][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002497 seconds
[2023-12-01 14:48:34,068][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.247864
[2023-12-01 14:48:34,130][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002450 seconds
[2023-12-01 14:48:34,130][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.247864
[2023-12-01 14:48:34,202][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002464 seconds
[2023-12-01 14:48:34,203][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.247864
[2023-12-01 14:48:34,287][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002462 seconds
[2023-12-01 14:48:34,287][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.247864
[2023-12-01 14:48:34,424][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002447 seconds
[2023-12-01 14:48:34,424][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.247864
[2023-12-01 14:48:34,531][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002414 seconds
[2023-12-01 14:48:34,531][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.247864
[2023-12-01 14:48:34,657][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002498 seconds
[2023-12-01 14:48:34,657][hyperopt.tpe][INFO] - TPE using 17/17 trials with best loss 0.247864
[2023-12-01 14:48:34,776][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002424 seconds
[2023-12-01 14:48:34,776][hyperopt.tpe][INFO] - TPE using 18/18 trials with best loss 0.247864
[2023-12-01 14:48:34,889][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002470 seconds
[2023-12-01 14:48:34,889][hyperopt.tpe][INFO] - TPE using 19/19 trials with best loss 0.247864
[2023-12-01 14:48:34,947][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002470 seconds
[2023-12-01 14:48:34,949][hyperopt.tpe][INFO] - TPE using 20/20 trials with best loss 0.247864
[2023-12-01 14:48:35,127][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002497 seconds
[2023-12-01 14:48:35,127][hyperopt.tpe][INFO] - TPE using 21/21 trials with best loss 0.247864
[2023-12-01 14:48:35,304][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002494 seconds
[2023-12-01 14:48:35,305][hyperopt.tpe][INFO] - TPE using 22/22 trials with best loss 0.247864
[2023-12-01 14:48:35,390][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002432 seconds
[2023-12-01 14:48:35,390][hyperopt.tpe][INFO] - TPE using 23/23 trials with best loss 0.247864
[2023-12-01 14:48:35,464][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002421 seconds
