[2023-12-01 14:50:26,564][root][INFO] - Experiment name: xgb_regression_da_and_d2_hyperopt_tune_with_day
[2023-12-01 14:50:30,983][root][INFO] - Running hyperopt
[2023-12-01 14:50:30,994][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002640 seconds
[2023-12-01 14:50:30,994][hyperopt.tpe][INFO] - TPE using 0 trials
[2023-12-01 14:50:31,453][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003105 seconds
[2023-12-01 14:50:31,454][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.266193
[2023-12-01 14:50:31,633][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002549 seconds
[2023-12-01 14:50:31,634][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.266193
[2023-12-01 14:50:31,789][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002521 seconds
[2023-12-01 14:50:31,789][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.266193
[2023-12-01 14:50:31,894][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002501 seconds
[2023-12-01 14:50:31,894][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.266193
[2023-12-01 14:50:31,967][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002570 seconds
[2023-12-01 14:50:31,967][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.266193
[2023-12-01 14:50:32,123][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002517 seconds
[2023-12-01 14:50:32,123][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.266193
[2023-12-01 14:50:32,233][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002500 seconds
[2023-12-01 14:50:32,233][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.213892
[2023-12-01 14:50:32,358][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002503 seconds
[2023-12-01 14:50:32,358][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.213892
[2023-12-01 14:50:32,443][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002488 seconds
[2023-12-01 14:50:32,443][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.213892
[2023-12-01 14:50:32,604][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002456 seconds
[2023-12-01 14:50:32,604][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.213892
[2023-12-01 14:50:32,693][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002487 seconds
[2023-12-01 14:50:32,693][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.213892
[2023-12-01 14:50:32,791][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002465 seconds
[2023-12-01 14:50:32,792][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.213892
[2023-12-01 14:50:32,937][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002499 seconds
[2023-12-01 14:50:32,937][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.213892
[2023-12-01 14:50:33,145][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002524 seconds
[2023-12-01 14:50:33,145][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.213892
[2023-12-01 14:50:33,213][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002450 seconds
[2023-12-01 14:50:33,213][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.213892
[2023-12-01 14:50:33,379][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002568 seconds
[2023-12-01 14:50:33,380][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.213892
[2023-12-01 14:50:33,534][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002427 seconds
[2023-12-01 14:50:33,534][hyperopt.tpe][INFO] - TPE using 17/17 trials with best loss 0.213892
[2023-12-01 14:50:33,622][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002646 seconds
[2023-12-01 14:50:33,622][hyperopt.tpe][INFO] - TPE using 18/18 trials with best loss 0.213892
[2023-12-01 14:50:33,749][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002496 seconds
[2023-12-01 14:50:33,749][hyperopt.tpe][INFO] - TPE using 19/19 trials with best loss 0.213892
[2023-12-01 14:50:33,837][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002444 seconds
[2023-12-01 14:50:33,870][hyperopt.tpe][INFO] - TPE using 20/20 trials with best loss 0.213892
[2023-12-01 14:50:33,931][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002521 seconds
[2023-12-01 14:50:33,931][hyperopt.tpe][INFO] - TPE using 21/21 trials with best loss 0.213892
[2023-12-01 14:50:34,047][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002493 seconds
[2023-12-01 14:50:34,047][hyperopt.tpe][INFO] - TPE using 22/22 trials with best loss 0.213892
[2023-12-01 14:50:34,101][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002451 seconds
[2023-12-01 14:50:34,101][hyperopt.tpe][INFO] - TPE using 23/23 trials with best loss 0.213892
[2023-12-01 14:50:34,197][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002485 seconds
[2023-12-01 14:50:34,197][hyperopt.tpe][INFO] - TPE using 24/24 trials with best loss 0.213892
[2023-12-01 14:50:34,280][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002488 seconds
[2023-12-01 14:50:34,280][hyperopt.tpe][INFO] - TPE using 25/25 trials with best loss 0.213892
[2023-12-01 14:50:34,363][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002461 seconds
[2023-12-01 14:50:34,364][hyperopt.tpe][INFO] - TPE using 26/26 trials with best loss 0.213892
[2023-12-01 14:50:34,447][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002477 seconds
[2023-12-01 14:50:34,448][hyperopt.tpe][INFO] - TPE using 27/27 trials with best loss 0.213892
[2023-12-01 14:50:34,540][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002482 seconds
[2023-12-01 14:50:34,540][hyperopt.tpe][INFO] - TPE using 28/28 trials with best loss 0.213892
[2023-12-01 14:50:34,703][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002484 seconds
[2023-12-01 14:50:34,703][hyperopt.tpe][INFO] - TPE using 29/29 trials with best loss 0.213892
[2023-12-01 14:50:34,813][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002468 seconds
[2023-12-01 14:50:34,814][hyperopt.tpe][INFO] - TPE using 30/30 trials with best loss 0.213892
[2023-12-01 14:50:34,893][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002532 seconds
[2023-12-01 14:50:34,893][hyperopt.tpe][INFO] - TPE using 31/31 trials with best loss 0.213892
[2023-12-01 14:50:35,005][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002488 seconds
[2023-12-01 14:50:35,006][hyperopt.tpe][INFO] - TPE using 32/32 trials with best loss 0.207704
[2023-12-01 14:50:35,092][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002516 seconds
[2023-12-01 14:50:35,093][hyperopt.tpe][INFO] - TPE using 33/33 trials with best loss 0.207704
[2023-12-01 14:50:35,201][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002513 seconds
[2023-12-01 14:50:35,201][hyperopt.tpe][INFO] - TPE using 34/34 trials with best loss 0.207704
[2023-12-01 14:50:35,322][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002494 seconds
[2023-12-01 14:50:35,322][hyperopt.tpe][INFO] - TPE using 35/35 trials with best loss 0.207704
[2023-12-01 14:50:35,409][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002504 seconds
[2023-12-01 14:50:35,409][hyperopt.tpe][INFO] - TPE using 36/36 trials with best loss 0.207704
[2023-12-01 14:50:35,465][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002504 seconds
[2023-12-01 14:50:35,466][hyperopt.tpe][INFO] - TPE using 37/37 trials with best loss 0.207704
[2023-12-01 14:50:35,606][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002452 seconds
[2023-12-01 14:50:35,606][hyperopt.tpe][INFO] - TPE using 38/38 trials with best loss 0.207704
[2023-12-01 14:50:35,731][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002515 seconds
[2023-12-01 14:50:35,731][hyperopt.tpe][INFO] - TPE using 39/39 trials with best loss 0.207704
[2023-12-01 14:50:35,818][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002509 seconds
[2023-12-01 14:50:35,818][hyperopt.tpe][INFO] - TPE using 40/40 trials with best loss 0.207704
