[2024-01-01 12:07:19,325][root][INFO] - Experiment name: xgb_regression_da_and_d1_only_hyperopt_tune_no_reg
[2024-01-01 12:07:24,618][root][INFO] - Running hyperopt
[2024-01-01 12:07:24,663][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001834 seconds
[2024-01-01 12:07:24,663][hyperopt.tpe][INFO] - TPE using 0 trials
[2024-01-01 12:07:24,873][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001864 seconds
[2024-01-01 12:07:24,873][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.261122
[2024-01-01 12:07:24,962][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002243 seconds
[2024-01-01 12:07:24,962][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.244993
[2024-01-01 12:07:25,045][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001799 seconds
[2024-01-01 12:07:25,045][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.238831
[2024-01-01 12:07:25,098][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001778 seconds
[2024-01-01 12:07:25,098][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.238831
[2024-01-01 12:07:25,161][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001796 seconds
[2024-01-01 12:07:25,161][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.238831
[2024-01-01 12:07:25,285][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001807 seconds
[2024-01-01 12:07:25,285][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.238831
[2024-01-01 12:07:25,347][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001808 seconds
[2024-01-01 12:07:25,348][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.238831
[2024-01-01 12:07:25,462][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001860 seconds
[2024-01-01 12:07:25,462][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.238831
[2024-01-01 12:07:25,510][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001788 seconds
[2024-01-01 12:07:25,510][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.238831
[2024-01-01 12:07:25,552][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001808 seconds
[2024-01-01 12:07:25,553][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.238831
[2024-01-01 12:07:25,801][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001846 seconds
[2024-01-01 12:07:25,801][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.238831
[2024-01-01 12:07:25,859][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001767 seconds
[2024-01-01 12:07:25,859][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.238831
[2024-01-01 12:07:25,963][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001809 seconds
[2024-01-01 12:07:25,963][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.238831
[2024-01-01 12:07:26,044][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001852 seconds
[2024-01-01 12:07:26,044][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.238831
[2024-01-01 12:07:26,094][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001775 seconds
[2024-01-01 12:07:26,094][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.238831
[2024-01-01 12:07:26,176][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001749 seconds
[2024-01-01 12:07:26,208][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.238831
[2024-01-01 12:07:26,257][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001753 seconds
