[2024-01-23 11:06:29,796][root][INFO] - Experiment name: xgb_regression_da_and_d2_hyperopt_tune_with_elastic_net
[2024-01-23 11:06:34,325][root][INFO] - Running hyperopt
[2024-01-23 11:06:34,334][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002250 seconds
[2024-01-23 11:06:34,334][hyperopt.tpe][INFO] - TPE using 0 trials
[2024-01-23 11:06:34,791][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002225 seconds
[2024-01-23 11:06:34,791][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.242108
[2024-01-23 11:06:34,943][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002687 seconds
[2024-01-23 11:06:34,943][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.242108
[2024-01-23 11:06:35,048][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002261 seconds
[2024-01-23 11:06:35,048][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.242108
[2024-01-23 11:06:35,141][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002216 seconds
[2024-01-23 11:06:35,141][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.242108
[2024-01-23 11:06:35,195][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002340 seconds
[2024-01-23 11:06:35,195][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.242108
[2024-01-23 11:06:35,289][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002254 seconds
[2024-01-23 11:06:35,289][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.242108
[2024-01-23 11:06:35,355][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002229 seconds
[2024-01-23 11:06:35,355][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.242108
[2024-01-23 11:06:35,403][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002292 seconds
[2024-01-23 11:06:35,403][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.242108
[2024-01-23 11:06:35,447][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002215 seconds
[2024-01-23 11:06:35,448][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.242108
[2024-01-23 11:06:35,521][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002197 seconds
[2024-01-23 11:06:35,521][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.242108
[2024-01-23 11:06:35,662][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002221 seconds
[2024-01-23 11:06:35,662][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.238882
